ALBANY 2:1 3:1 7:1 11:1 15:1 44:1
Oklahoma 2:1 11:1 15:1 43:1 131:1 134:1
and 9:1 16:1 17:1 129:1 132:1 8009:1
South 10:1 11:1 15:1 17:1 130:1 133:1 8007:1
Dakota 2:1 11:1 15:1 16:1 62:1 8008:1
. 4:1 8:1 9:1 16:1 60:1
There 3:1 7:1 11:1 671:1 1052:1 1362:1 3147:1
are 68:1 669:1 1050:1 1363:1 2834:1 3148:1
no 66:1 152:1 670:1 1051:1 2832:1 3374:1
known 67:1 104:1 150:1 191:1 2833:1 3372:1
cases 102:1 125:1 151:1 161:1 189:1 3373:1
of 68:1 103:1 123:1 159:1 173:1 190:1
the 26:1 66:1 124:1 160:1 171:1 743:1
disease 24:1 67:1 125:1 172:1 236:1 741:1
in 17:1 25:1 123:1 209:1 234:1 742:1
New 11:1 15:1 17:1 124:1 207:1 212:1 235:1
York 11:1 15:1 16:1 62:1 208:1 210:1
. 4:1 8:1 16:1 60:1 211:1
-LSB- 3:1 7:1 68:1 87:1 501:1 2141:1
This 11:1 66:1 83:1 88:1 479:1 502:1 2139:1
is 10:1 67:1 81:1 140:1 477:1 2140:1
juxtaposed 2:1 82:1 125:1 138:1 398:1 478:1
with 9:1 68:1 123:1 139:1 173:1 396:1
the 10:1 26:1 66:1 124:1 171:1 397:1
re-population 2:1 24:1 67:1 125:1 161:1 172:1
of 9:1 25:1 68:1 123:1 159:1 173:1
the 17:1 66:1 124:1 160:1 171:1 440:1
Tennessee 11:1 15:1 67:1 131:1 134:1 172:1 438:1
and 16:1 129:1 132:1 439:1 572:1 4088:1
possibly 68:1 130:1 133:1 173:1 570:1 4086:1
the 17:1 66:1 171:1 434:1 571:1 4087:1
North 11:1 15:1 17:1 67:1 172:1 432:1 437:1
Carolina 10:1 11:1 15:1 16:1 41:1 433:1 435:1
Appalachians 2:1 11:1 16:1 39:1 125:1 398:1 436:1
with 9:1 40:1 123:1 140:1 396:1 6713:1
imported 26:1 124:1 138:1 397:1 6711:1 9476:1
elk 24:1 62:1 139:1 6712:1 9474:1
. 4:1 8:1 25:1 60:1 9475:1
However 3:1 7:1 11:1 44:1 570:1 5997:1
, 42:1 125:1 571:1 974:1 5998:1
if 43:1 123:1 972:1 1361:1 1364:1
there 124:1 671:1 973:1 1052:1 1359:1 1362:1
are 68:1 669:1 1050:1 1360:1 1363:1 2834:1
no 66:1 104:1 191:1 670:1 1051:1 2832:1
cases 67:1 102:1 125:1 161:1 189:1 2833:1
of 68:1 103:1 123:1 159:1 173:1 190:1
the 26:1 66:1 124:1 160:1 171:1 743:1
disease 24:1 67:1 125:1 172:1 236:1 741:1
in 17:1 25:1 123:1 209:1 234:1 742:1
New 11:1 15:1 17:1 124:1 207:1 212:1 235:1
York 11:1 15:1 16:1 44:1 208:1 210:1
, 16:1 42:1 211:1 572:1 5204:1
then 43:1 570:1 1046:1 5202:1 16016:1
why 571:1 668:1 671:1 1044:1 5203:1 16014:1
have 666:1 669:1 848:1 896:1 1045:1 16015:1
we 110:1 667:1 670:1 846:1 894:1 11747:1
heard 26:1 108:1 847:1 895:1 11745:1 21332:1
nothing 24:1 109:1 125:1 473:1 11746:1 21330:1
about 25:1 26:1 98:1 123:1 471:1 21331:1
surveillance 24:1 62:1 96:1 124:1 472:1 950:1
? 4:1 8:1 25:1 60:1 97:1 948:1
Is 3:1 7:1 11:1 17:1 81:1 209:1 8238:1
New 11:1 15:1 17:1 82:1 207:1 212:1 8239:1
York 11:1 15:1 16:1 208:1 210:1 572:1 2897:1
even 16:1 74:1 211:1 570:1 2895:1 10871:1
looking 72:1 125:1 533:1 571:1 2896:1 10869:1
for 68:1 73:1 123:1 173:1 531:1 10870:1
the 26:1 66:1 124:1 171:1 532:1 743:1
disease 24:1 62:1 67:1 172:1 741:1 950:1
? 4:1 8:1 25:1 60:1 742:1 948:1
- 3:1 7:1 26:1 30:1 633:1 18599:1
Mods.MPP 11:1 24:1 31:1 32:1 634:1 2642:1 18597:1
/ 10:1 25:1 26:1 30:1 2640:1 18598:1
TG 2:1 11:1 24:1 31:1 95:1 641:1 2641:1
-RSB- 9:1 25:1 32:1 93:1 639:1 689:1
... 30:1 94:1 152:1 640:1 687:1 22301:1
mpp/tg/pg 31:1 32:1 150:1 688:1 2642:1 22299:1
/ 10:1 26:1 30:1 151:1 2640:1 22300:1
lm 2:1 4:1 8:1 24:1 31:1 2641:1
