Note 3:1 7:1 11:1 125:1 609:1 642:1 770:1
on 26:1 123:1 610:1 643:1 768:1 8798:1
3 48:1 104:1 151:1 183:1 191:1 511:1
cases 49:1 102:1 125:1 184:1 189:1 2393:1
out 103:1 123:1 125:1 161:1 190:1 2391:1
of 50:1 123:1 124:1 159:1 182:1 2392:1
7 48:1 124:1 125:1 160:1 180:1 236:1
in 26:1 49:1 123:1 181:1 234:1 260:1
total 24:1 62:1 124:1 235:1 258:1
. 4:1 8:1 25:1 60:1 259:1
It 3:1 7:1 11:1 83:1 846:1 3668:1 3714:1
appears 81:1 125:1 206:1 847:1 3666:1 3715:1
from 68:1 82:1 123:1 173:1 204:1 3667:1
the 26:1 66:1 77:1 124:1 171:1 205:1
report 24:1 67:1 75:1 125:1 172:1 770:1
on 25:1 68:1 76:1 123:1 173:1 768:1
the 10:1 66:1 124:1 152:1 171:1 769:1
3rd 2:1 26:1 67:1 150:1 172:1 866:1
case 9:1 24:1 125:1 151:1 515:1 864:1
that 25:1 68:1 123:1 173:1 513:1 865:1
the 66:1 124:1 152:1 171:1 514:1 4664:1
only 26:1 67:1 150:1 172:1 4662:1 9344:1
feed 24:1 44:1 151:1 4663:1 9342:1
, 25:1 42:1 821:1 824:1 9343:1
which 43:1 83:1 293:1 819:1 822:1
has 81:1 140:1 291:1 296:1 820:1 823:1
been 82:1 138:1 140:1 292:1 294:1 1940:1
used 125:1 138:1 139:1 236:1 295:1 1938:1
in 68:1 123:1 139:1 234:1 413:1 1939:1
all 50:1 66:1 124:1 185:1 235:1 411:1
3 10:1 48:1 67:1 152:1 183:1 412:1
BSE-positive 2:1 11:1 49:1 104:1 150:1 184:1 9524:1
herds 9:1 44:1 102:1 151:1 9522:1
, 42:1 83:1 103:1 479:1 9523:1
is 43:1 68:1 81:1 173:1 477:1
the 26:1 66:1 82:1 171:1 478:1 16067:1
milk 10:1 24:1 26:1 67:1 172:1 16065:1
replacement 2:1 24:1 25:1 842:1 16066:1
`` 9:1 10:1 17:1 25:1 840:1
Sundkalv 2:1 11:1 15:1 841:1 875:1
'' 9:1 16:1 140:1 873:1 5903:1
produced 125:1 138:1 143:1 874:1 5901:1
by 68:1 123:1 139:1 141:1 173:1 5902:1
the 10:1 26:1 66:1 124:1 142:1 171:1
firm 2:1 24:1 67:1 172:1 842:1
`` 9:1 10:1 17:1 25:1 840:1
Nordmilch 2:1 10:1 11:1 15:1 17:1 841:1
EG 2:1 9:1 11:1 15:1 16:1 875:1
'' 9:1 16:1 44:1 873:1
, 17:1 42:1 874:1 3296:1
Germany 11:1 15:1 43:1 44:1 3294:1
, 16:1 42:1 134:1 2072:1 3295:1
but 43:1 68:1 132:1 515:1 2070:1
that 26:1 66:1 133:1 513:1 2071:1 7124:1
contamination 24:1 67:1 125:1 398:1 514:1 7122:1
with 25:1 26:1 123:1 396:1 7123:1 11978:1
meat 24:1 124:1 131:1 134:1 397:1 11976:1
and 25:1 26:1 129:1 132:1 11977:1 23207:1
bone 24:1 26:1 130:1 133:1 23205:1 23210:1
meal 24:1 25:1 89:1 23206:1 23208:1
-LRB- 10:1 25:1 26:1 87:1 23209:1
MBM 2:1 11:1 24:1 88:1 95:1
-RRB- 9:1 25:1 93:1 125:1 236:1
in 94:1 123:1 149:1 152:1 234:1
other 26:1 124:1 147:1 150:1 235:1 9344:1
feed 24:1 104:1 148:1 151:1 5543:1 9342:1
products 25:1 102:1 140:1 1940:1 5541:1 9343:1
used 103:1 125:1 138:1 236:1 1938:1 5542:1
in 68:1 123:1 139:1 173:1 234:1 1939:1
the 66:1 104:1 124:1 171:1 235:1 9524:1
herds 67:1 102:1 172:1 1010:1 1082:1 9522:1
can 103:1 572:1 1008:1 1080:1 1097:1 9523:1
not 570:1 611:1 734:1 1009:1 1081:1 1095:1
be 140:1 571:1 609:1 732:1 1096:1 6728:1
ruled 138:1 610:1 733:1 2393:1 2396:1 6726:1
out 62:1 139:1 2391:1 2394:1 6727:1
. 4:1 8:1 60:1 2392:1 2395:1
Sundkalv 2:1 3:1 7:1 11:1 15:1 83:1 479:1
is 9:1 16:1 81:1 140:1 477:1 1109:1
made 82:1 125:1 138:1 236:1 478:1 1107:1
in 123:1 139:1 152:1 234:1 1108:1 3737:1
several 104:1 124:1 150:1 235:1 3735:1 20297:1
varieties 102:1 131:1 134:1 151:1 3736:1 20295:1
and 83:1 103:1 129:1 132:1 479:1 20296:1
is 81:1 130:1 133:1 152:1 477:1 2060:1
identical 82:1 125:1 150:1 398:1 478:1 2058:1
with 68:1 123:1 151:1 173:1 396:1 2059:1
the 66:1 104:1 124:1 171:1 397:1 5543:1
products 67:1 102:1 172:1 842:1 1637:1 5541:1
` 17:1 103:1 840:1 1635:1 5542:1 13130:1
Rod 10:1 11:1 15:1 17:1 841:1 1636:1 13128:1
Kalvo 2:1 11:1 15:1 16:1 761:1 1655:1 13129:1
' 9:1 16:1 131:1 134:1 759:1 1653:1
and 129:1 132:1 760:1 842:1 1637:1 1654:1
` 10:1 17:1 130:1 133:1 840:1 1635:1
Gron 2:1 10:1 11:1 15:1 17:1 841:1 1636:1
Kalvo 2:1 9:1 11:1 15:1 16:1 761:1 1655:1
' 9:1 16:1 131:1 134:1 759:1 1653:1
and 110:1 129:1 132:1 760:1 1109:1 1654:1
made 108:1 130:1 133:1 1107:1 2396:1 5132:1
up 109:1 572:1 1108:1 2394:1 4466:1 5130:1
approximately 26:1 570:1 2395:1 4464:1 5131:1 10274:1
half 24:1 125:1 161:1 571:1 4465:1 10272:1
of 25:1 68:1 123:1 159:1 173:1 10273:1
the 26:1 66:1 124:1 160:1 171:1 10340:1
share 24:1 67:1 125:1 161:1 172:1 10338:1
of 25:1 68:1 123:1 159:1 173:1 10339:1
the 26:1 66:1 124:1 160:1 171:1 16142:1
market 24:1 67:1 125:1 161:1 172:1 16140:1
of 25:1 26:1 123:1 159:1 16067:1 16141:1
milk 10:1 24:1 104:1 124:1 160:1 16065:1
replacements 2:1 25:1 102:1 125:1 236:1 16066:1
in 9:1 17:1 103:1 123:1 234:1 3290:1
Denmark 11:1 15:1 124:1 125:1 235:1 236:1 3288:1
in 10:1 16:1 50:1 123:1 234:1 3289:1
1996-1997 2:1 48:1 62:1 124:1 235:1
. 4:1 8:1 9:1 49:1 60:1
The 3:1 7:1 11:1 17:1 63:1 66:1 1733:1
Plant 11:1 15:1 17:1 64:1 67:1 1731:1 14693:1
Directorate 11:1 15:1 16:1 83:1 479:1 1732:1 14691:1
is 16:1 74:1 81:1 477:1 2678:1 14692:1
investigating 72:1 82:1 478:1 1046:1 2676:1 5390:1
how 73:1 152:1 1044:1 2677:1 5388:1 9689:1
widespread 68:1 150:1 173:1 1045:1 5389:1 9687:1
the 26:1 66:1 151:1 171:1 2327:1 9688:1
use 24:1 67:1 125:1 161:1 172:1 2325:1
of 25:1 68:1 123:1 159:1 323:1 2326:1
these 26:1 66:1 124:1 160:1 321:1 16067:1
milk 10:1 24:1 67:1 104:1 322:1 16065:1
replacements 2:1 25:1 83:1 102:1 293:1 16066:1
has 9:1 81:1 103:1 140:1 291:1 296:1
been 82:1 125:1 138:1 236:1 292:1 294:1
in 68:1 123:1 139:1 173:1 234:1 295:1
the 66:1 124:1 152:1 171:1 235:1 4061:1
Danish 11:1 26:1 67:1 150:1 172:1 4059:1 12140:1
livestock 24:1 62:1 151:1 4060:1 12138:1
. 4:1 8:1 25:1 60:1 12139:1
According 3:1 7:1 11:1 72:1 113:1 116:1 2442:1
to 68:1 73:1 111:1 114:1 173:1 2443:1
the 10:1 26:1 66:1 112:1 115:1 171:1
producer 2:1 24:1 67:1 68:1 172:1 173:1
the 9:1 25:1 66:1 104:1 171:1 5543:1
products 67:1 102:1 172:1 671:1 5541:1 11180:1
contain 103:1 152:1 669:1 5542:1 11178:1 14930:1
fat 140:1 150:1 670:1 11179:1 12824:1 14928:1
derived 125:1 138:1 151:1 206:1 12822:1 14929:1
from 10:1 104:1 123:1 139:1 204:1 12823:1
bones 2:1 102:1 124:1 125:1 205:1 206:1
from 9:1 103:1 104:1 123:1 204:1 6770:1
cattle 102:1 124:1 131:1 134:1 205:1 6768:1
and 103:1 104:1 129:1 132:1 6769:1 18629:1
swine 102:1 130:1 133:1 140:1 18627:1 21362:1
delivered 103:1 125:1 138:1 206:1 18628:1 21360:1
from 10:1 104:1 123:1 139:1 204:1 21361:1
slaughterhouses 2:1 102:1 124:1 125:1 205:1 236:1
in 9:1 103:1 123:1 152:1 234:1 3737:1
several 17:1 124:1 150:1 235:1 3221:1 3735:1
European 11:1 15:1 17:1 151:1 2636:1 3219:1 3736:1
Union 11:1 15:1 16:1 89:1 2634:1 3220:1
-LRB- 16:1 17:1 87:1 2635:1 6794:1
EU 11:1 15:1 88:1 95:1 6792:1
-RRB- 16:1 26:1 93:1 3551:1 6793:1
member 24:1 94:1 104:1 146:1 3549:1
states 25:1 62:1 102:1 144:1 3550:1
. 4:1 8:1 60:1 103:1 145:1
At 3:1 7:1 11:1 68:1 123:1 173:1 2490:1
the 26:1 66:1 124:1 171:1 2491:1 2498:1
time 24:1 67:1 125:1 161:1 172:1 2496:1
of 25:1 26:1 123:1 159:1 2497:1 12761:1
production 24:1 124:1 125:1 160:1 161:1 12759:1
of 25:1 68:1 123:1 159:1 173:1 12760:1
the 10:1 66:1 104:1 124:1 160:1 171:1
batches 2:1 67:1 102:1 125:1 161:1 172:1
of 9:1 26:1 103:1 123:1 159:1 16067:1
milk 10:1 24:1 104:1 124:1 160:1 16065:1
replacements 2:1 25:1 102:1 515:1 824:1 16066:1
that 9:1 103:1 110:1 203:1 513:1 822:1
were 108:1 140:1 201:1 514:1 823:1 1940:1
used 109:1 125:1 138:1 202:1 236:1 1938:1
in 17:1 123:1 139:1 234:1 1939:1 6710:1
BSE 11:1 15:1 124:1 152:1 235:1 1931:1 6708:1
infected 16:1 104:1 150:1 1929:1 6709:1 9524:1
herds 44:1 102:1 151:1 1930:1 9522:1
, 42:1 103:1 848:1 863:1 9523:1
it 43:1 110:1 275:1 846:1 861:1
was 108:1 273:1 572:1 847:1 862:1 1097:1
not 10:1 109:1 152:1 274:1 570:1 1095:1
obligatory 2:1 113:1 116:1 150:1 571:1 1096:1
to 9:1 111:1 114:1 151:1 611:1 15650:1
remove 10:1 112:1 115:1 140:1 609:1 15648:1
specified 2:1 26:1 138:1 610:1 3383:1 15649:1
risk 9:1 24:1 26:1 139:1 3381:1 9932:1
material 24:1 25:1 89:1 3382:1 9930:1
-LRB- 10:1 25:1 26:1 87:1 9931:1
SRM 2:1 11:1 24:1 88:1 95:1
-RRB- 9:1 25:1 93:1 125:1 236:1
in 68:1 94:1 123:1 173:1 234:1
the 10:1 66:1 104:1 124:1 171:1 235:1
slaughterhouses 2:1 67:1 102:1 125:1 172:1 236:1
in 9:1 68:1 103:1 123:1 234:1 413:1
all 17:1 66:1 124:1 235:1 411:1 6794:1
EU 11:1 15:1 26:1 67:1 412:1 3551:1 6792:1
member 16:1 24:1 104:1 146:1 3549:1 6793:1
states 25:1 62:1 102:1 144:1 3550:1
. 4:1 8:1 60:1 103:1 145:1
Therefore 3:1 7:1 11:1 570:1 1361:1 1364:1 20844:1
there 83:1 479:1 571:1 1359:1 1362:1 20845:1
is 68:1 81:1 287:1 477:1 1360:1 1363:1
a 26:1 66:1 82:1 285:1 478:1 3383:1
risk 24:1 67:1 125:1 286:1 515:1 3381:1
that 25:1 68:1 123:1 173:1 513:1 3382:1
the 26:1 66:1 124:1 171:1 514:1 16100:1
product 24:1 67:1 172:1 1010:1 3044:1 16098:1
might 25:1 611:1 668:1 1008:1 3042:1 16099:1
have 140:1 296:1 609:1 666:1 1009:1 3043:1
been 138:1 140:1 294:1 610:1 667:1 10847:1
contaminated 125:1 138:1 139:1 295:1 398:1 10845:1
with 123:1 139:1 152:1 396:1 10846:1 14930:1
fat 124:1 140:1 150:1 397:1 5903:1 14928:1
produced 125:1 138:1 151:1 206:1 5901:1 14929:1
from 104:1 123:1 139:1 204:1 3368:1 5902:1
parts 102:1 124:1 125:1 161:1 205:1 3366:1
of 103:1 123:1 152:1 159:1 3367:1 7304:1
spinal 26:1 124:1 150:1 160:1 7302:1 7307:1
cord 24:1 131:1 134:1 151:1 7303:1 7305:1
and 25:1 26:1 129:1 132:1 5324:1 7306:1
brain 24:1 125:1 130:1 133:1 206:1 5322:1
from 17:1 25:1 123:1 204:1 5323:1 6710:1
BSE 11:1 15:1 124:1 152:1 205:1 4649:1 6708:1
positive 16:1 104:1 150:1 4647:1 6709:1 6770:1
cattle 62:1 102:1 151:1 4648:1 6768:1
. 4:1 8:1 60:1 103:1 6769:1
The 3:1 7:1 11:1 63:1 66:1 104:1 6392:1
reports 64:1 67:1 102:1 125:1 206:1 6390:1
from 68:1 103:1 123:1 173:1 204:1 6391:1
the 26:1 66:1 124:1 171:1 205:1 1733:1
Plant 11:1 24:1 26:1 67:1 172:1 1731:1 14693:1
Directorate 11:1 24:1 25:1 125:1 770:1 1732:1 14691:1
on 25:1 68:1 123:1 173:1 768:1 14692:1
the 66:1 124:1 152:1 171:1 769:1 1085:1
last 50:1 67:1 150:1 172:1 554:1 1083:1
4 48:1 104:1 151:1 191:1 552:1 1084:1
cases 49:1 102:1 189:1 553:1 671:1 1052:1
are 103:1 190:1 572:1 669:1 1050:1 1097:1
not 140:1 570:1 670:1 1051:1 1095:1 10022:1
finished 138:1 571:1 572:1 857:1 1096:1 10020:1
yet 44:1 139:1 570:1 855:1 10021:1
, 42:1 134:1 571:1 856:1 2072:1
but 43:1 132:1 572:1 1328:1 2070:1
so 133:1 570:1 572:1 1326:1 1331:1 2071:1
far 570:1 571:1 848:1 863:1 1327:1 1329:1
it 83:1 479:1 571:1 846:1 861:1 1330:1
is 81:1 152:1 477:1 847:1 862:1 8522:1
evident 82:1 125:1 150:1 478:1 515:1 8520:1
that 68:1 123:1 151:1 173:1 513:1 8521:1
the 66:1 124:1 152:1 171:1 514:1 22001:1
4th 44:1 67:1 150:1 172:1 21999:1
, 10:1 42:1 151:1 152:1 22000:1
5th 2:1 43:1 131:1 134:1 150:1
and 9:1 129:1 132:1 151:1 152:1 8663:1
6th 26:1 130:1 133:1 150:1 866:1 8661:1
case 24:1 151:1 572:1 864:1 1442:1 8662:1
also 25:1 110:1 203:1 570:1 865:1 1440:1
were 108:1 140:1 201:1 571:1 1441:1 8444:1
fed 68:1 109:1 138:1 173:1 202:1 8442:1
the 66:1 139:1 152:1 171:1 227:1 8443:1
same 26:1 67:1 150:1 172:1 225:1 16067:1
milk 10:1 24:1 26:1 151:1 226:1 16065:1
replacement 2:1 24:1 25:1 62:1 16066:1
. 4:1 8:1 9:1 25:1 60:1
The 3:1 7:1 11:1 17:1 63:1 66:1 1733:1
Plant 11:1 15:1 17:1 64:1 67:1 1731:1 14693:1
Directorate 11:1 15:1 16:1 83:1 479:1 1732:1 14691:1
is 16:1 74:1 81:1 477:1 2678:1 14692:1
investigating 72:1 82:1 125:1 478:1 2676:1 3617:1
whether 68:1 73:1 123:1 650:1 2677:1 3615:1
this 26:1 66:1 124:1 648:1 3616:1 16067:1
milk 10:1 24:1 26:1 67:1 649:1 16065:1
replacement 2:1 24:1 25:1 110:1 275:1 16066:1
was 9:1 25:1 108:1 140:1 273:1 1940:1
used 109:1 125:1 138:1 236:1 274:1 1938:1
in 68:1 123:1 139:1 173:1 234:1 1939:1
the 10:1 66:1 124:1 152:1 171:1 235:1
7th 2:1 26:1 67:1 150:1 172:1 866:1
case 9:1 24:1 151:1 158:1 572:1 864:1
as 25:1 156:1 570:1 572:1 865:1 4394:1
well 62:1 157:1 570:1 571:1 4392:1
. 4:1 8:1 60:1 571:1 4393:1
The 3:1 7:1 11:1 17:1 63:1 66:1 1733:1
Plant 11:1 15:1 17:1 64:1 67:1 1731:1 14693:1
Directorate 11:1 15:1 16:1 83:1 293:1 1732:1 14691:1
has 10:1 16:1 81:1 291:1 572:1 14692:1
furthermore 2:1 82:1 140:1 292:1 570:1 1109:1
made 9:1 104:1 138:1 571:1 1107:1 3185:1
investigations 74:1 102:1 139:1 1108:1 3183:1 14261:1
regarding 26:1 72:1 103:1 3184:1 4418:1 14259:1
animal 24:1 26:1 73:1 4416:1 14260:1 14930:1
fat 24:1 25:1 125:1 236:1 4417:1 14928:1
in 25:1 26:1 123:1 234:1 9344:1 14929:1
feed 24:1 74:1 124:1 235:1 7004:1 9342:1
allowing 25:1 72:1 2396:1 5132:1 7002:1 9343:1
up 73:1 113:1 116:1 2394:1 5130:1 7003:1
to 10:1 50:1 111:1 114:1 2395:1 5131:1
0.15 2:1 48:1 112:1 115:1 125:1 8099:1
per 9:1 26:1 49:1 123:1 8097:1 9602:1
cent 10:1 24:1 104:1 124:1 8098:1 9600:1
impurities 2:1 10:1 25:1 26:1 102:1 9601:1
content 2:1 9:1 24:1 103:1 131:1 134:1
and 9:1 25:1 83:1 129:1 132:1 293:1
has 10:1 81:1 130:1 133:1 291:1 572:1
hereby 2:1 82:1 140:1 292:1 570:1 22049:1
demonstrated 9:1 125:1 138:1 236:1 571:1 22047:1
in 68:1 123:1 139:1 173:1 234:1 22048:1
the 66:1 124:1 152:1 171:1 235:1 14930:1
fat 10:1 67:1 104:1 150:1 172:1 14928:1
remnants 2:1 102:1 125:1 151:1 161:1 14929:1
of 9:1 26:1 103:1 123:1 159:1 15698:1
protein 24:1 124:1 152:1 160:1 2060:1 15696:1
identical 25:1 125:1 150:1 236:1 2058:1 15697:1
in 26:1 123:1 151:1 234:1 2059:1 9686:1
composition 24:1 124:1 125:1 235:1 398:1 9684:1
with 10:1 17:1 25:1 123:1 396:1 9685:1
MBM 2:1 11:1 15:1 62:1 124:1 397:1
. 4:1 8:1 9:1 16:1 60:1
Denmark 3:1 7:1 11:1 15:1 758:1 761:1 3288:1
's 16:1 17:1 756:1 759:1 3289:1 6710:1
BSE 11:1 15:1 26:1 757:1 760:1 6708:1 7547:1
reference 16:1 24:1 26:1 1349:1 6709:1 7545:1
laboratory 24:1 25:1 44:1 1347:1 7546:1
, 25:1 42:1 65:1 68:1 1348:1
The 11:1 43:1 63:1 66:1 152:1 4061:1
Danish 11:1 64:1 67:1 150:1 152:1 3341:1 4059:1
Veterinary 11:1 26:1 150:1 151:1 3339:1 4060:1 4292:1
Laboratory 11:1 24:1 89:1 151:1 3340:1 4290:1
-LRB- 10:1 25:1 26:1 87:1 4291:1
DVL 2:1 11:1 24:1 88:1 95:1
-RRB- 9:1 25:1 44:1 93:1
, 42:1 83:1 94:1 479:1
is 43:1 81:1 477:1 572:1 10994:1
currently 74:1 82:1 478:1 570:1 10992:1 11027:1
conducting 68:1 72:1 287:1 571:1 10993:1 11025:1
a 26:1 66:1 73:1 285:1 3383:1 11026:1
risk 24:1 26:1 67:1 286:1 3381:1 16709:1
evaluation 24:1 25:1 125:1 770:1 3382:1 16707:1
on 25:1 68:1 123:1 173:1 768:1 16708:1
the 26:1 66:1 124:1 171:1 769:1 2327:1
use 24:1 67:1 125:1 161:1 172:1 2325:1
of 25:1 26:1 123:1 159:1 2326:1 4418:1
animal 24:1 26:1 124:1 160:1 4416:1 14930:1
fat 24:1 25:1 125:1 158:1 4417:1 14928:1
as 25:1 26:1 123:1 156:1 9344:1 14929:1
feed 24:1 124:1 125:1 157:1 533:1 9342:1
for 25:1 104:1 123:1 531:1 9343:1 17600:1
ruminants 102:1 124:1 131:1 134:1 532:1 17598:1
and 68:1 103:1 129:1 132:1 173:1 17599:1
the 26:1 66:1 130:1 133:1 171:1 3383:1
risk 10:1 24:1 67:1 110:1 172:1 3381:1
entailed 2:1 25:1 74:1 108:1 3382:1 9107:1
using 9:1 68:1 72:1 109:1 173:1 9105:1
the 26:1 66:1 73:1 171:1 9106:1 16067:1
milk 10:1 24:1 67:1 104:1 172:1 16065:1
replacements 2:1 25:1 102:1 125:1 770:1 16066:1
on 9:1 68:1 103:1 123:1 173:1 768:1
the 26:1 66:1 124:1 171:1 769:1 16142:1
market 24:1 67:1 125:1 172:1 236:1 16140:1
in 17:1 25:1 123:1 234:1 3290:1 16141:1
Denmark 11:1 15:1 62:1 124:1 235:1 3288:1
. 4:1 8:1 16:1 60:1 3289:1
The 3:1 7:1 11:1 26:1 63:1 66:1 3383:1
risk 24:1 26:1 64:1 67:1 3381:1 16709:1
evaluation 24:1 25:1 83:1 479:1 3382:1 16707:1
is 25:1 81:1 140:1 477:1 1109:1 16708:1
made 82:1 125:1 138:1 398:1 478:1 1107:1
with 26:1 123:1 139:1 396:1 1108:1 7547:1
reference 24:1 113:1 116:1 124:1 397:1 7545:1
to 25:1 68:1 111:1 114:1 287:1 7546:1
a 66:1 112:1 115:1 152:1 285:1 2687:1
possible 10:1 26:1 67:1 150:1 286:1 2685:1
tightening 2:1 24:1 125:1 151:1 161:1 2686:1
of 9:1 25:1 68:1 123:1 159:1 173:1
the 10:1 66:1 104:1 124:1 160:1 171:1
rules 2:1 67:1 74:1 102:1 172:1 2684:1
concerning 9:1 26:1 72:1 103:1 2682:1 12761:1
production 24:1 44:1 73:1 2683:1 12759:1
, 25:1 26:1 42:1 6842:1 12760:1
import 24:1 43:1 44:1 6840:1
, 25:1 42:1 131:1 134:1 6841:1
and 26:1 43:1 129:1 132:1 2327:1
use 24:1 125:1 130:1 133:1 161:1 2325:1
of 25:1 68:1 123:1 159:1 323:1 2326:1
these 10:1 66:1 104:1 124:1 160:1 321:1
feedstuffs 2:1 62:1 67:1 102:1 322:1
. 4:1 8:1 9:1 60:1 103:1
The 3:1 7:1 11:1 26:1 63:1 66:1 16709:1
evaluation 24:1 64:1 67:1 83:1 11762:1 16707:1
takes 25:1 81:1 125:1 959:1 11760:1 16708:1
into 26:1 82:1 123:1 957:1 11761:1 18575:1
account 24:1 124:1 152:1 958:1 11741:1 18573:1
international 10:1 25:1 104:1 150:1 11739:1 18574:1
experiences 2:1 44:1 102:1 151:1 11740:1
, 9:1 42:1 68:1 103:1 173:1
the 43:1 66:1 152:1 171:1 482:1
available 67:1 150:1 152:1 172:1 480:1 16976:1
scientific 26:1 150:1 151:1 481:1 8255:1 16974:1
literature 24:1 125:1 151:1 770:1 8253:1 16975:1
on 25:1 68:1 123:1 173:1 768:1 8254:1
the 26:1 66:1 124:1 171:1 769:1 16805:1
topic 24:1 44:1 67:1 172:1 16803:1
, 25:1 26:1 42:1 12761:1 16804:1
production 24:1 43:1 104:1 12759:1 18281:1
procedures 25:1 102:1 125:1 533:1 12760:1 18279:1
for 68:1 103:1 123:1 173:1 531:1 18280:1
the 10:1 26:1 66:1 124:1 171:1 532:1
feedstuff 2:1 24:1 44:1 67:1 172:1
, 9:1 25:1 42:1 104:1 11492:1
regulations 43:1 102:1 125:1 533:1 11490:1
for 26:1 103:1 123:1 531:1 5597:1 11491:1
removal 24:1 124:1 125:1 161:1 532:1 5595:1
of 10:1 17:1 25:1 123:1 159:1 5596:1
SRM 2:1 11:1 15:1 44:1 124:1 160:1
, 9:1 16:1 42:1 104:1 11492:1
regulations 43:1 102:1 125:1 533:1 11490:1
for 10:1 103:1 104:1 123:1 531:1 11491:1
impurities 2:1 10:1 26:1 102:1 124:1 532:1
content 2:1 9:1 24:1 103:1 125:1 236:1
in 9:1 25:1 123:1 152:1 234:1 14930:1
fat 26:1 124:1 150:1 235:1 14928:1 15929:1
etc. 24:1 62:1 151:1 14929:1 15927:1
. 4:1 8:1 25:1 60:1 15928:1
Furthermore 3:1 7:1 11:1 44:1 570:1 11871:1
, 10:1 17:1 42:1 571:1 11872:1
DVL 2:1 11:1 15:1 43:1 83:1 479:1
is 9:1 16:1 74:1 81:1 477:1 4637:1
working 72:1 82:1 125:1 478:1 770:1 4635:1
on 68:1 73:1 123:1 768:1 1022:1 4636:1
an 66:1 124:1 152:1 769:1 1020:1 2387:1
epidemiological 26:1 67:1 150:1 1021:1 2385:1 19484:1
project 24:1 74:1 151:1 2386:1 14261:1 19482:1
regarding 25:1 68:1 72:1 173:1 14259:1 19483:1
the 66:1 73:1 152:1 171:1 2687:1 14260:1
possible 10:1 67:1 150:1 152:1 172:1 2685:1
causal 2:1 26:1 150:1 151:1 2686:1 6065:1
association 9:1 24:1 125:1 151:1 161:1 6063:1
of 17:1 25:1 123:1 159:1 6064:1 6710:1
BSE 11:1 15:1 124:1 131:1 134:1 160:1 6708:1
and 16:1 26:1 129:1 132:1 6709:1 16067:1
milk 10:1 24:1 104:1 130:1 133:1 16065:1
replacements 2:1 25:1 62:1 102:1 16066:1
. 4:1 8:1 9:1 60:1 103:1
If 3:1 7:1 11:1 68:1 123:1 173:1 3546:1
the 26:1 66:1 124:1 171:1 3547:1 16100:1
product 24:1 67:1 125:1 172:1 236:1 16098:1
in 25:1 26:1 123:1 234:1 8576:1 16099:1
question 24:1 83:1 124:1 235:1 293:1 8574:1
has 25:1 81:1 140:1 291:1 296:1 8575:1
been 82:1 138:1 140:1 292:1 294:1 1940:1
used 125:1 138:1 139:1 143:1 295:1 1938:1
by 123:1 139:1 141:1 527:1 584:1 1939:1
most 124:1 125:1 142:1 161:1 525:1 582:1
of 68:1 123:1 159:1 173:1 526:1 583:1
