0 3:1 7:1 11:1 63:1 66:1 152:1 14555:1
0 64:1 67:1 89:1 150:1 14553:1
0 10:1 87:1 151:1 611:1 14554:1
0 2:1 10:1 88:1 152:1 609:1
0 2:1 9:1 95:1 150:1 610:1
0 9:1 26:1 93:1 151:1 11120:1
0 24:1 26:1 94:1 11118:1 21281:1
0 3:1 7:1 11:1 68:1 123:1 173:1 1182:1
0 26:1 66:1 124:1 171:1 1183:1 5720:1
0 24:1 44:1 67:1 172:1 5718:1
0 25:1 26:1 42:1 743:1 5719:1
0 24:1 43:1 104:1 741:1 1190:1
0 25:1 102:1 125:1 236:1 742:1 1188:1
0 17:1 103:1 123:1 234:1 1189:1 2864:1
0 11:1 15:1 124:1 235:1 668:1 671:1 2862:1
0 16:1 572:1 666:1 669:1 1097:1 2863:1
0 140:1 296:1 570:1 667:1 670:1 1095:1
0 107:1 138:1 140:1 294:1 571:1 1096:1
0 105:1 125:1 138:1 139:1 143:1 295:1
0 68:1 106:1 123:1 139:1 141:1 173:1
0 26:1 66:1 124:1 142:1 171:1 6785:1
0 24:1 62:1 67:1 172:1 6783:1
0 4:1 8:1 25:1 60:1 6784:1
0 3:1 7:1 10:1 11:1 17:1 63:1 66:1
0 2:1 10:1 11:1 15:1 17:1 64:1 67:1
0 2:1 9:1 11:1 15:1 16:1 89:1
0 9:1 16:1 17:1 87:1 8558:1
0 10:1 11:1 15:1 50:1 88:1 8556:1
0 2:1 16:1 26:1 48:1 8557:1 15725:1
0 9:1 10:1 11:1 24:1 49:1 50:1 15723:1
0 2:1 25:1 48:1 95:1 15724:1
0 9:1 49:1 93:1 125:1 161:1
0 68:1 94:1 123:1 159:1 173:1
0 17:1 66:1 124:1 160:1 171:1 1376:1
0 10:1 11:1 15:1 17:1 67:1 172:1 1374:1
0 2:1 10:1 11:1 15:1 16:1 17:1 1375:1
0 2:1 9:1 11:1 15:1 16:1 107:1 110:1
0 9:1 16:1 68:1 105:1 108:1 287:1
0 26:1 66:1 106:1 109:1 260:1 285:1
0 24:1 67:1 125:1 161:1 258:1 286:1
0 25:1 50:1 123:1 159:1 259:1 356:1
0 48:1 124:1 140:1 160:1 354:1 6713:1
0 49:1 104:1 138:1 191:1 355:1 6711:1
0 102:1 125:1 139:1 161:1 189:1 6712:1
0 26:1 103:1 123:1 159:1 190:1 16808:1
0 24:1 124:1 125:1 160:1 236:1 16806:1
0 25:1 50:1 123:1 234:1 1742:1 16807:1
0 44:1 48:1 124:1 235:1 1740:1
0 42:1 49:1 134:1 1741:1 2072:1
0 43:1 110:1 132:1 2070:1 4454:1
0 68:1 108:1 133:1 2071:1 2834:1 4452:1
0 10:1 66:1 109:1 152:1 2832:1 4453:1
0 2:1 26:1 67:1 150:1 2833:1 16808:1
0 9:1 24:1 104:1 151:1 191:1 16806:1
0 25:1 62:1 102:1 189:1 16807:1
0 4:1 8:1 60:1 103:1 190:1
0 3:1 7:1 65:1 68:1 87:1 501:1
0 11:1 63:1 66:1 88:1 152:1 502:1 6617:1
0 64:1 67:1 150:1 152:1 6615:1 8711:1
0 11:1 26:1 77:1 150:1 151:1 6616:1 8709:1
0 24:1 75:1 83:1 151:1 3008:1 8710:1
0 25:1 76:1 81:1 572:1 1097:1 3006:1
0 82:1 570:1 611:1 1095:1 3007:1 4463:1
0 125:1 571:1 609:1 1096:1 3617:1 4461:1
0 68:1 123:1 173:1 610:1 3615:1 4462:1
0 66:1 104:1 124:1 171:1 191:1 3616:1
0 67:1 102:1 110:1 172:1 189:1 203:1
0 10:1 103:1 108:1 152:1 190:1 201:1
0 2:1 109:1 134:1 150:1 197:1 202:1
0 9:1 132:1 140:1 151:1 195:1 6713:1
0 62:1 133:1 138:1 196:1 6711:1
0 4:1 8:1 60:1 139:1 6712:1
0 3:1 7:1 11:1 123:1 848:1 2820:1 3566:1
0 110:1 124:1 203:1 846:1 2821:1 3564:1
0 108:1 125:1 201:1 236:1 847:1 3565:1
0 68:1 109:1 123:1 202:1 234:1 287:1
0 66:1 124:1 235:1 285:1 572:1 899:1
0 67:1 152:1 286:1 570:1 897:1 10898:1
0 26:1 150:1 571:1 898:1 4958:1 10896:1
0 24:1 125:1 151:1 161:1 4956:1 10897:1
0 25:1 68:1 123:1 159:1 173:1 4957:1
0 26:1 66:1 124:1 160:1 171:1 10247:1
0 24:1 44:1 67:1 172:1 10245:1
0 25:1 42:1 1046:1 3371:1 10246:1
0 43:1 848:1 1044:1 3369:1 4484:1
0 846:1 1010:1 1045:1 3044:1 3370:1 4482:1
0 572:1 847:1 1008:1 1097:1 3042:1 4483:1
0 570:1 611:1 1009:1 1095:1 3043:1 21602:1
0 113:1 116:1 571:1 609:1 1096:1 21600:1
0 111:1 114:1 610:1 611:1 6941:1 21601:1
0 104:1 112:1 115:1 609:1 6939:1 14489:1
0 102:1 610:1 728:1 998:1 6940:1 14487:1
0 103:1 110:1 726:1 996:1 1610:1 14488:1
0 108:1 572:1 727:1 997:1 1115:1 1608:1
0 109:1 140:1 570:1 1113:1 1609:1 3167:1
0 113:1 116:1 138:1 571:1 1114:1 3165:1
0 17:1 111:1 114:1 139:1 3166:1 9056:1
0 11:1 15:1 44:1 112:1 115:1 9054:1
0 16:1 42:1 1361:1 1364:1 9055:1
0 43:1 1010:1 1359:1 1362:1 1439:1
0 611:1 734:1 1008:1 1360:1 1363:1 1437:1
0 104:1 609:1 732:1 1009:1 1438:1 22043:1
0 74:1 102:1 610:1 733:1 7565:1 22041:1
0 72:1 103:1 1361:1 1364:1 7563:1 22042:1
0 73:1 728:1 998:1 1359:1 1362:1 7564:1
0 110:1 726:1 996:1 1360:1 1363:1 1610:1
0 108:1 140:1 727:1 997:1 1608:1 7433:1
0 109:1 125:1 138:1 206:1 1609:1 7431:1
0 17:1 123:1 139:1 204:1 7432:1 9056:1
0 11:1 15:1 44:1 124:1 205:1 9054:1
0 16:1 42:1 134:1 197:1 9055:1
0 43:1 104:1 132:1 195:1 1469:1
0 102:1 133:1 196:1 728:1 998:1 1467:1
0 103:1 110:1 726:1 996:1 1468:1 1610:1
0 108:1 140:1 727:1 997:1 1608:1 14453:1
0 10:1 17:1 109:1 138:1 1609:1 14451:1
0 2:1 11:1 15:1 134:1 139:1 197:1 14452:1
0 9:1 16:1 132:1 149:1 152:1 195:1
0 133:1 147:1 150:1 152:1 196:1 3395:1
0 104:1 148:1 150:1 151:1 3393:1 3890:1
0 62:1 102:1 151:1 3394:1 3888:1
0 4:1 8:1 60:1 103:1 3889:1
0 3:1 7:1 11:1 24:1 95:1 641:1 18600:1
0 25:1 32:1 93:1 639:1 689:1 18601:1
0 10:1 26:1 30:1 94:1 640:1 687:1
0 2:1 24:1 31:1 32:1 688:1 2642:1
0 9:1 25:1 26:1 30:1 2640:1 14525:1
0 4:1 8:1 24:1 31:1 2641:1 14523:1
