1 3:1 7:1 11:1 48:1 104:1 191:1 14448:1
2 49:1 89:1 102:1 189:1 14449:1
0 50:1 87:1 103:1 190:1 224:1
0 48:1 88:1 152:1 222:1 1319:1
0 49:1 95:1 150:1 223:1 1317:1
0 93:1 125:1 151:1 161:1 1318:1
0 94:1 123:1 152:1 159:1 22631:1
0 24:1 26:1 124:1 484:1 876:1 22643:1
0 24:1 25:1 44:1 877:1 22641:1
0 25:1 42:1 131:1 134:1 22642:1
0 43:1 129:1 132:1 1010:1 2483:1
0 130:1 133:1 572:1 1008:1 1097:1 2481:1
0 570:1 611:1 734:1 1009:1 1095:1 2482:1
0 140:1 571:1 609:1 732:1 1096:1 22646:1
0 62:1 138:1 610:1 733:1 22644:1
0 4:1 8:1 60:1 139:1 22645:1
0 3:1 7:1 11:1 63:1 66:1 104:1 6476:1
0 64:1 67:1 102:1 671:1 1052:1 6474:1
0 74:1 103:1 669:1 1050:1 1367:1 6475:1
0 72:1 140:1 670:1 1013:1 1051:1 1365:1
0 73:1 131:1 134:1 138:1 1011:1 1366:1
0 129:1 132:1 139:1 914:1 977:1 1012:1
0 26:1 130:1 133:1 912:1 975:1 980:1
0 24:1 83:1 479:1 913:1 976:1 978:1
0 25:1 74:1 81:1 477:1 979:1 22649:1
0 62:1 72:1 82:1 478:1 22647:1
0 4:1 8:1 60:1 73:1 22648:1
0 3:1 7:1 26:1 87:1 501:1 17177:1
0 11:1 24:1 83:1 88:1 479:1 502:1 17175:1
0 25:1 81:1 477:1 572:1 1097:1 17176:1
0 82:1 478:1 570:1 572:1 1028:1 1095:1
0 107:1 140:1 570:1 571:1 1026:1 1096:1
0 105:1 125:1 138:1 206:1 571:1 1027:1
0 17:1 106:1 123:1 139:1 204:1 434:1
0 11:1 15:1 17:1 124:1 205:1 432:1 9056:1
0 11:1 15:1 16:1 44:1 433:1 9054:1
0 16:1 42:1 131:1 134:1 9055:1
0 17:1 43:1 129:1 132:1 677:1
0 11:1 15:1 83:1 130:1 133:1 293:1 675:1
0 16:1 81:1 291:1 572:1 676:1 1097:1
0 82:1 107:1 140:1 292:1 570:1 1095:1
0 68:1 105:1 138:1 287:1 571:1 1096:1
0 26:1 66:1 106:1 139:1 285:1 866:1
0 24:1 67:1 125:1 206:1 286:1 864:1
0 17:1 25:1 123:1 204:1 865:1 22640:1
0 11:1 15:1 124:1 125:1 205:1 236:1 22638:1
0 16:1 123:1 234:1 914:1 1823:1 22639:1
0 50:1 124:1 235:1 305:1 912:1 1821:1
0 48:1 104:1 303:1 350:1 913:1 1822:1
0 49:1 102:1 125:1 161:1 304:1 348:1
0 26:1 103:1 123:1 159:1 349:1 4046:1
0 24:1 44:1 124:1 160:1 4044:1
0 25:1 42:1 134:1 2072:1 4045:1
0 26:1 43:1 132:1 2070:1 8426:1
0 24:1 125:1 133:1 161:1 2071:1 8424:1
0 25:1 68:1 123:1 159:1 173:1 8425:1
0 26:1 66:1 124:1 160:1 171:1 11978:1
0 24:1 67:1 125:1 161:1 172:1 11976:1
0 25:1 68:1 123:1 159:1 1022:1 11977:1
0 66:1 124:1 152:1 160:1 1020:1 1931:1
0 26:1 67:1 150:1 1021:1 1929:1 22652:1
0 24:1 83:1 151:1 293:1 1930:1 22650:1
0 25:1 81:1 140:1 291:1 296:1 22651:1
0 82:1 107:1 138:1 140:1 292:1 294:1
0 105:1 113:1 116:1 138:1 139:1 295:1
0 106:1 111:1 114:1 139:1 611:1 3248:1
0 112:1 115:1 609:1 611:1 3246:1 13670:1
3 125:1 236:1 609:1 610:1 3247:1 13668:1
0 74:1 123:1 234:1 610:1 4895:1 13669:1
0 17:1 72:1 124:1 235:1 4893:1 22655:1
0 11:1 15:1 73:1 89:1 4894:1 22653:1
0 16:1 17:1 87:1 22654:1 22658:1
0 11:1 15:1 17:1 88:1 22656:1 22661:1
0 11:1 15:1 16:1 44:1 22657:1 22659:1
0 16:1 17:1 42:1 22660:1 22664:1
0 11:1 15:1 26:1 43:1 22662:1 22667:1
0 11:1 16:1 24:1 44:1 22663:1 22665:1
0 17:1 25:1 42:1 22666:1 22670:1
0 11:1 15:1 17:1 43:1 22668:1 22673:1
0 11:1 15:1 16:1 62:1 22669:1 22671:1
0 4:1 8:1 16:1 60:1 22672:1
0 3:1 7:1 11:1 125:1 236:1 609:1 17175:1
0 104:1 123:1 234:1 610:1 17176:1 22676:1
0 102:1 124:1 131:1 134:1 235:1 22674:1
0 103:1 104:1 129:1 132:1 20831:1 22675:1
0 32:1 102:1 130:1 133:1 20829:1
0 30:1 103:1 914:1 977:1 20830:1
0 26:1 31:1 912:1 975:1 2756:1
0 24:1 125:1 236:1 913:1 976:1 2754:1
0 25:1 123:1 152:1 188:1 234:1 2755:1
0 104:1 124:1 150:1 186:1 235:1 19523:1
0 62:1 102:1 151:1 187:1 19521:1
0 4:1 8:1 60:1 103:1 19522:1
0 3:1 7:1 11:1 15:1 17:1 2808:1 21704:1
0 11:1 15:1 16:1 17:1 1736:1 2809:1 21702:1
0 11:1 15:1 16:1 50:1 1734:1 5468:1 21703:1
0 16:1 32:1 48:1 338:1 1735:1 5466:1
0 30:1 49:1 50:1 336:1 5467:1 22679:1
0 31:1 32:1 48:1 337:1 22677:1
0 30:1 49:1 50:1 22678:1 22682:1
0 31:1 48:1 95:1 22680:1
0 49:1 62:1 93:1 22681:1
0 4:1 8:1 60:1 94:1
0 3:1 7:1 11:1 572:1 846:1 1442:1 2970:1
0 110:1 570:1 847:1 1440:1 2971:1 11747:1
0 108:1 125:1 161:1 571:1 1441:1 11745:1
0 68:1 109:1 123:1 159:1 287:1 11746:1
0 66:1 124:1 152:1 160:1 285:1 1103:1
0 26:1 67:1 150:1 286:1 866:1 1101:1
0 24:1 125:1 151:1 236:1 864:1 1102:1
0 17:1 25:1 123:1 234:1 865:1 7376:1
0 11:1 15:1 17:1 124:1 235:1 7374:1 7379:1
0 11:1 15:1 16:1 104:1 350:1 7375:1 7377:1
0 16:1 102:1 348:1 572:1 7378:1 11156:1
0 62:1 103:1 349:1 570:1 11154:1
0 4:1 8:1 60:1 571:1 11155:1
0 3:1 7:1 11:1 26:1 63:1 66:1 22685:1
0 24:1 64:1 67:1 125:1 161:1 22683:1
0 25:1 68:1 123:1 159:1 650:1 22684:1
0 26:1 66:1 124:1 160:1 648:1 3332:1
0 24:1 67:1 125:1 236:1 649:1 3330:1
0 17:1 25:1 123:1 234:1 3331:1 22688:1
0 11:1 15:1 83:1 124:1 235:1 10187:1 22686:1
0 16:1 81:1 125:1 515:1 10185:1 22687:1
0 68:1 82:1 123:1 323:1 513:1 10186:1
0 66:1 104:1 124:1 191:1 321:1 514:1
1 67:1 102:1 189:1 322:1 671:1 1052:1
0 103:1 190:1 572:1 669:1 899:1 1050:1
0 152:1 570:1 670:1 897:1 1051:1 7154:1
0 113:1 116:1 150:1 571:1 898:1 7152:1
0 111:1 114:1 151:1 611:1 668:1 7153:1
0 104:1 112:1 115:1 609:1 666:1 19931:1
0 102:1 125:1 533:1 610:1 667:1 19929:1
0 103:1 123:1 152:1 531:1 11741:1 19930:1
0 26:1 124:1 150:1 532:1 11252:1 11739:1
0 24:1 134:1 151:1 197:1 11250:1 11740:1
0 25:1 26:1 132:1 195:1 11251:1 15926:1
0 24:1 62:1 133:1 196:1 15924:1
0 4:1 8:1 25:1 60:1 15925:1
0 3:1 7:1 26:1 30:1 633:1 4814:1
0 11:1 24:1 31:1 32:1 634:1 2642:1 4812:1
0 25:1 26:1 30:1 2640:1 4813:1 7223:1
0 11:1 24:1 31:1 95:1 641:1 2641:1 7221:1
0 25:1 32:1 93:1 639:1 689:1 7222:1
0 30:1 94:1 152:1 640:1 687:1 13589:1
0 4:1 8:1 31:1 150:1 688:1 13587:1
